Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE180343,GPL21290; GPL24676	,Illumina HiSeq 3000 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens),9,,Pterygium; an ocular surface disorder.,Human conjunctival tissue (hCjSCs); immune cells; and vascular cells were used to create the 3D in vitro pterygium model.,,,,
GSE180338,GPL11154,Illumina HiSeq 2000 (Homo sapiens),9,PI3K/AKT/mTOR inhibitors,NF2-associated schwannoma; a rare disease characterized by the development of multiple intracranial schwannomas.,Human schwannoma tissue,,,,
GSE197445,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",9,PTH-lowering drugs,Parathyroid diseases; specifically hyperplastic parathyroid tissue,Parathyroid tissue,36306782,,,
GSE187420,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",9,IMD-0354,COVID-19,Calu-3 cells (human lung adenocarcinoma cell line),36093376,,,
GSE195642,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),9,Gentamicin,Nephrotoxicity (specifically drug-induced),Renal organoids (derived from human pluripotent stem cells),35243244,,,
GSE181538,GPL30481,NanoString Prognostic Liver Signature (PLS) plus liver fibrosis panel (186-gene PLS + 24-gene extension),9,Various anti-fibrotic agents,Liver fibrosis (specifically HCV-infected patients with F2 fibrosis),Snap-frozen surgical liver tissue (cultured ex vivo as precision-cut liver slices),34951993,,,
GSE179828,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),9,Defibrotide,,Human umbilical vein endothelial cells (HUVECs),34264868,,,
GSE178839,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",9,5-fluorouracil,Colorectal cancer,Cancer cells and human tumors (colorectal xenografts),35013311,,,
GSE131823,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",9,Daunorubicin,Acute myeloid leukemia (AML),K562 cells (human myelogenous leukemia cell line),31770110,,,
GSE128723,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",9,Ivacaftor,Cystic fibrosis (CF),Peripheral blood mononuclear cells (PBMCs) from CF patients,30995102,,,
GSE126426,GPL11154,Illumina HiSeq 2000 (Homo sapiens),9,Axitinib,Advanced renal cell carcinoma,Human umbilical vein endothelial cells (HUVEC),30967634,,,
GSE109679,GPL14951,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip,9,PI3K inhibitor and CDK4/6 inhibitor,Lung squamous cell carcinoma (LUSC),Patient-derived xenografts (PDX) from LUSC,30093452,,,
GSE122041,GPL21290,Illumina HiSeq 3000 (Homo sapiens),9,BRAF-inhibitors,Melanoma,,29590606; 33060170,,,
GSE106847,GPL11154,Illumina HiSeq 2000 (Homo sapiens),9,AA147 (a small molecule that activates the ATF6 pathway of the UPR),,Human pluripotent stem cells undergoing differentiation into multipotent germ layers; nascent tissues; and organs,29440509,,,
GSE101419,GPL21290,Illumina HiSeq 3000 (Homo sapiens),9,Pictilisib (GDC-0941),Bladder cancer,Urothelial tissue of the bladder,28808038,,,
GSE77322,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,9,Niclosamide ethanolamine (NEN),Hepatocellular carcinoma (HCC),HepG2 cells (a human hepatocellular carcinoma cell line) and tumors from patient-derived xenografts (PDX),28284560,,,
GSE93237,GPL10999,Illumina Genome Analyzer IIx (Homo sapiens),9,7;7'-carbonylbis(azanediyl) bis(4-hydroxynaphthalene-2-sulfonic acid) (AMI-1) and disodium-2-(2;4;5;7-tetrabromo-3-oxido-6-oxoxanthen-9-yl) benzoate trihydrate (AMI-5).,,human endothelial cells (HMEC-1).,24850797,,,
GSE84587,GPL571; GPL6244	,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array; [HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],9,,Hepatitis C Virus (HCV),Primary human hepatocytes and human liver biopsies.,27723751,,,
GSE60989,GPL11154,Illumina HiSeq 2000 (Homo sapiens),9,,respiratory infections and diseases,Human airway epithelial cells,26927796,,,
GSE64550,GPL16791,Illumina HiSeq 2500 (Homo sapiens),9,PLX4720 (vemurafenib; a BRAF inhibitor) or Trametinib (a MEK inhibitor),Lung adenocarcinoma,HCC364 cells,,,,
GSE50535,GPL11154,Illumina HiSeq 2000 (Homo sapiens),9,BRAF and MEK inhibitors,Melanoma,A375 cells (melanoma cell line) and paired biopsies,24670642,,,
GSE39073,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],9,Dasatinib,KIT(mut) t(8;21) acute myeloid leukemia,Kasumi-1 cell line (acute myeloid leukemia cell line),24211243,,,
GSE39073,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],9,Dasatinib,KIT(mut) t(8;21) acute myeloid leukemia,Kasumi-1 cell line (acute myeloid leukemia cell line),24211243,,,
GSE49869,GPL16807,Illumina HumanRef-8 WG-DASL v3.0 [gene-centered version],9,Vincristine,,HL60 cells (human promyelocytic leukemia cell line),24045430,,,
GSE16944,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,9,Rapamycin,Lymphangioleiomyomatosis (LAM),TSC2-deficient immortalized cells) and murine embryonic fibroblast cells that lack Tsc1 or Tsc2.,19395678,,,
GSE15918,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",9,Torcetrapib,,Adrenal-derived cells (H295R and HAC15 human adrenal carcinoma cell lines),19164467,,,
GSE15918,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",9,Torcetrapib,,Adrenal-derived cells (H295R and HAC15 human adrenal carcinoma cell lines),19164467,,,
GSE9332,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,9,Leukotriene B4 (LTB4),Inflammation; atherosclerosis,Primary human monocytes,,,,
GSE9332,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,9,Leukotriene B4 (LTB4),Inflammation; atherosclerosis,Primary human monocytes,,,,
GSE216508,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",9,Osimertinib and Alpelisib,EGFR-mutant Non-Small Cell Lung Cancer (NSCLC),NCI-H1975 cells (a human lung cancer cell line),,,,
GSE201740,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),8,Sunitinib,Retinoblastoma (RB),Patient-derived tumor organoids (from retinoblastoma patients) and human ESC-derived retinal organoids,36726110,,,
GSE201299,GPL28038,DNBSEQ-G400 (Homo sapiens),8,Cycloleucine,Cancer,HeLa cells (human cervical cancer cell line) and Hepa1 cells (mouse hepatoma cell line),35636512,,,
GSE211342,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],8,Sudamycin D6 (SD6),Aggressive Multiple Myeloma (MM),NCI-H929 and MM1.S cells (human myeloma cell lines) and 293T cells (human embryonic kidney cell line),,,,
GSE176326,GPL21290,Illumina HiSeq 3000 (Homo sapiens),8,Poly (ADP-ribose) Polymerase-1 Inhibitors (PARPi) and Cisplatin,Cervical Cancer,HeLa cells (human cervical cancer cell line),35503086,,,
GSE189499,GPL21697,NextSeq 550 (Homo sapiens),8,Tigecycline,Cancer (associated with FBXW7 deficiency and multi-drug resistance),DLD1 cells (human colorectal adenocarcinoma cells),35861150,,,
GSE200281,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),8,Indisulam,Cancer (based on the context of the study),Panc10.05 cells (a pancreatic cancer cell line),35534224,,,
GSE171009,GPL18573,Illumina NextSeq 500 (Homo sapiens),8,Nucleocapsid protein,COVID-19 (caused by SARS-CoV-2),HEK293 cells (a human embryonic kidney cell line),34901782,,,
GSE173411,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),8,Tepoxalin,Drug-resistant breast cancer,Human mammary epithelial cells (HMECs),34298440,,,
GSE139350,GPL20795,HiSeq X Ten (Homo sapiens),8,,Systemic Lupus Erythematosus (SLE),Peripheral blood mononuclear cells (PMBCs) from SLE patients and Jurkat cells.,34220794,,,
GSE167922,GPL11154,Illumina HiSeq 2000 (Homo sapiens),8,Fentanyl,the impact of fentanyl on viral replication in cell lines,Huh7.5 and HepG2 cell lines.,33852610,,,
GSE168888,GPL20795,HiSeq X Ten (Homo sapiens),8,5-fluorouracil (5-FU).,Colon cancer,Colon cancer cell lines HCT-8/FU and HCT-8,35151311,,,
GSE148878,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",8,Tamoxifen; Letrozole,Tamoxifen-resistant breast cancer; Endocrine-resistant estrogen receptor-positive (ER+) breast cancer,Breast cancer cell lines (MCF7),33398005,,,
GSE150025,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),8,,Non-small cell lung cancer,Lung cancer cell lines (PC9),34061819,,,
GSE145085,GPL18573,Illumina NextSeq 500 (Homo sapiens),8,Cisplatin,Acute Kidney Injury (AKI),Human Kidney Organoids,32150447,,,
GSE125128,GPL18573,Illumina NextSeq 500 (Homo sapiens),8,Aromatase inhibitors (AI),Endocrine resistant ERα breast cancer,Breast adenocarcinoma cell line (MCF7),31073170,,,
GSE108382,GPL11154,Illumina HiSeq 2000 (Homo sapiens),8,Targeted BRAF inhibitors,Melanoma,Melanoma cell lines,30061114,,,
GSE102187,GPL11154,Illumina HiSeq 2000 (Homo sapiens),8,Vorinostat,HIV,Primary CD4+ T cells,29706951,,,
GSE102744,GPL11154,Illumina HiSeq 2000 (Homo sapiens),8,Ibrutinib,ERBB4 expressing cancer,study used cancer cell lines.,29398709,,,
GSE106782,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,8,Interferon-Beta (IFNb),Triple Negative Breast Cancer (TNBC),Transformed human mammary epithelial cells (HMECs),29229854,,,
GSE57119,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,8,Retinoic acid (RA),Breast cancer,T47D breast cancer cells (in vitro) with impaired RARA function,27894085,,,
GSE77180,GPL5175,[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version],8,5-Fluorouracil (5-FU),Colorectal cancer,Colorectal cancer cell lines,28515355,,,
GSE87874,GPL15207,[PrimeView] Affymetrix Human Gene Expression Array,8,Withanolide F,Colon Cancer,LS174T cells (Human Colon Adenocarcinoma Cell Line),27973612,,,
GSE86274,GPL17077,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),8,4-hydroxytamoxifen (4-OHT),,BJ normal human fibroblasts (immortalized),,,,
GSE84908,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],8,Tacrolimus,Diabetic Nephropathy,Human mesangial cells,28060893,,,
GSE40069,GPL9115,Illumina Genome Analyzer II (Homo sapiens),8,Genistein,Iron overload syndromes,Human hepatocytes (HepG2 cells),,,,
GSE67318,GPL17077,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),8,5-aza-2’-deoxycytidine,,Human liver; small intestine; and hepatoma cells.,26421064,,,
GSE66660,GPL11532,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version],8,Etoposide,Acute myeloid leukemia (AML),U937 cells (a human myeloid cell line),23457546,,,
GSE138850,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],4,Lenalidomide,cancer,NK Cell,,,,
